model,prompt,object_name
sora1.1-stdit-480p,a big river swamp in a dense forest,sora1.1-stdit-480p/a big river swamp in a dense forest.mp4
sora1.1-stdit-480p,a branch of a tree and a plant,sora1.1-stdit-480p/a branch of a tree and a plant.mp4
sora1.1-stdit-480p,a couple resting on their home floor,sora1.1-stdit-480p/a couple resting on their home floor.mp4
sora1.1-stdit-480p,a cracker sandwich with cheese filling for snack,sora1.1-stdit-480p/a cracker sandwich with cheese filling for snack.mp4
sora1.1-stdit-480p,a crowd of people in a plaza in front of a government building,sora1.1-stdit-480p/a crowd of people in a plaza in front of a government building.mp4
sora1.1-stdit-480p,a dark clouds over shadowing the full moon,sora1.1-stdit-480p/a dark clouds over shadowing the full moon.mp4
sora1.1-stdit-480p,a female fencer posing in a foggy room,sora1.1-stdit-480p/a female fencer posing in a foggy room.mp4
sora1.1-stdit-480p,a freshly brewed coffee on a pink mug,sora1.1-stdit-480p/a freshly brewed coffee on a pink mug.mp4
sora1.1-stdit-480p,a lion standing on wild grass,sora1.1-stdit-480p/a lion standing on wild grass.mp4
sora1.1-stdit-480p,a lizard on a bamboo,sora1.1-stdit-480p/a lizard on a bamboo.mp4
sora1.1-stdit-480p,a male interviewer listening to a person talking,sora1.1-stdit-480p/a male interviewer listening to a person talking.mp4
sora1.1-stdit-480p,a male vendor selling fruits,sora1.1-stdit-480p/a male vendor selling fruits.mp4
sora1.1-stdit-480p,a miniature house,sora1.1-stdit-480p/a miniature house.mp4
sora1.1-stdit-480p,a singer of a music band,sora1.1-stdit-480p/a singer of a music band.mp4
sora1.1-stdit-480p,a woman eating a bar of chocolate,sora1.1-stdit-480p/a woman eating a bar of chocolate.mp4
sora1.1-stdit-480p,a woman sitting by the indoor fire pit,sora1.1-stdit-480p/a woman sitting by the indoor fire pit.mp4
sora1.1-stdit-480p,a woman with a slice of a pie,sora1.1-stdit-480p/a woman with a slice of a pie.mp4
sora1.1-stdit-480p,a zigzag road across a forest,sora1.1-stdit-480p/a zigzag road across a forest.mp4
sora1.1-stdit-480p,alligator in the nature,sora1.1-stdit-480p/alligator in the nature.mp4
sora1.1-stdit-480p,barista preparing matcha tea,sora1.1-stdit-480p/barista preparing matcha tea.mp4
sora1.1-stdit-480p,bird nests on a tree captured with moving camera,sora1.1-stdit-480p/bird nests on a tree captured with moving camera.mp4
sora1.1-stdit-480p,building under construction,sora1.1-stdit-480p/building under construction.mp4
sora1.1-stdit-480p,candle burning in dark room,sora1.1-stdit-480p/candle burning in dark room.mp4
sora1.1-stdit-480p,candle on a jar and a house figurine on a surface,sora1.1-stdit-480p/candle on a jar and a house figurine on a surface.mp4
sora1.1-stdit-480p,cargo train traveling on the mountainside,sora1.1-stdit-480p/cargo train traveling on the mountainside.mp4
sora1.1-stdit-480p,close up shot of a yellow taxi turning left,sora1.1-stdit-480p/close up shot of a yellow taxi turning left.mp4
sora1.1-stdit-480p,clouds over railway,sora1.1-stdit-480p/clouds over railway.mp4
sora1.1-stdit-480p,deer grazing in the field,sora1.1-stdit-480p/deer grazing in the field.mp4
sora1.1-stdit-480p,eiffel tower from the seine river,sora1.1-stdit-480p/eiffel tower from the seine river.mp4
sora1.1-stdit-480p,focus shot of an insect at the bottom of a fruit,sora1.1-stdit-480p/focus shot of an insect at the bottom of a fruit.mp4
sora1.1-stdit-480p,forest of deciduous trees,sora1.1-stdit-480p/forest of deciduous trees.mp4
sora1.1-stdit-480p,hummingbird hawk moth flying near pink flowers,sora1.1-stdit-480p/hummingbird hawk moth flying near pink flowers.mp4
sora1.1-stdit-480p,indoor wall climbing activity,sora1.1-stdit-480p/indoor wall climbing activity.mp4
sora1.1-stdit-480p,panoramic view of a town surrounded by snow covered mountains,sora1.1-stdit-480p/panoramic view of a town surrounded by snow covered mountains.mp4
sora1.1-stdit-480p,person assembling furniture,sora1.1-stdit-480p/person assembling furniture.mp4
sora1.1-stdit-480p,person doing a leg exercise,sora1.1-stdit-480p/person doing a leg exercise.mp4
sora1.1-stdit-480p,pork ribs dish,sora1.1-stdit-480p/pork ribs dish.mp4
sora1.1-stdit-480p,red vehicle driving on field,sora1.1-stdit-480p/red vehicle driving on field.mp4
sora1.1-stdit-480p,reflection of tree branches,sora1.1-stdit-480p/reflection of tree branches.mp4
sora1.1-stdit-480p,rice terraces in the countryside,sora1.1-stdit-480p/rice terraces in the countryside.mp4
sora1.1-stdit-480p,road on mountain ridge,sora1.1-stdit-480p/road on mountain ridge.mp4
sora1.1-stdit-480p,time lapse of a cloudy sky behind a transmission tower,sora1.1-stdit-480p/time lapse of a cloudy sky behind a transmission tower.mp4
sora1.1-stdit-480p,uncooked pork meat,sora1.1-stdit-480p/uncooked pork meat.mp4
sora1.1-stdit-480p,variety of succulent plants on a garden,sora1.1-stdit-480p/variety of succulent plants on a garden.mp4
sora1.1-stdit-480p,video of lake during dawn,sora1.1-stdit-480p/video of lake during dawn.mp4
sora1.1-stdit-480p,watering yellow plant,sora1.1-stdit-480p/watering yellow plant.mp4
sora1.1-stdit-480p,white fox on rock,sora1.1-stdit-480p/white fox on rock.mp4
sora1.1-stdit-480p,woman seating inside the car while chewing,sora1.1-stdit-480p/woman seating inside the car while chewing.mp4
sora1.1-stdit-480p,workspace at home,sora1.1-stdit-480p/workspace at home.mp4
sora1.1-stdit-480p,young dancer practicing at home,sora1.1-stdit-480p/young dancer practicing at home.mp4
sora1.2-stdit-480p,a big river swamp in a dense forest,sora1.2-stdit-480p/a big river swamp in a dense forest.mp4
sora1.2-stdit-480p,a branch of a tree and a plant,sora1.2-stdit-480p/a branch of a tree and a plant.mp4
sora1.2-stdit-480p,a couple resting on their home floor,sora1.2-stdit-480p/a couple resting on their home floor.mp4
sora1.2-stdit-480p,a cracker sandwich with cheese filling for snack,sora1.2-stdit-480p/a cracker sandwich with cheese filling for snack.mp4
sora1.2-stdit-480p,a crowd of people in a plaza in front of a government building,sora1.2-stdit-480p/a crowd of people in a plaza in front of a government building.mp4
sora1.2-stdit-480p,a dark clouds over shadowing the full moon,sora1.2-stdit-480p/a dark clouds over shadowing the full moon.mp4
sora1.2-stdit-480p,a female fencer posing in a foggy room,sora1.2-stdit-480p/a female fencer posing in a foggy room.mp4
sora1.2-stdit-480p,a freshly brewed coffee on a pink mug,sora1.2-stdit-480p/a freshly brewed coffee on a pink mug.mp4
sora1.2-stdit-480p,a lion standing on wild grass,sora1.2-stdit-480p/a lion standing on wild grass.mp4
sora1.2-stdit-480p,a lizard on a bamboo,sora1.2-stdit-480p/a lizard on a bamboo.mp4
sora1.2-stdit-480p,a male interviewer listening to a person talking,sora1.2-stdit-480p/a male interviewer listening to a person talking.mp4
sora1.2-stdit-480p,a male vendor selling fruits,sora1.2-stdit-480p/a male vendor selling fruits.mp4
sora1.2-stdit-480p,a miniature house,sora1.2-stdit-480p/a miniature house.mp4
sora1.2-stdit-480p,a singer of a music band,sora1.2-stdit-480p/a singer of a music band.mp4
sora1.2-stdit-480p,a woman eating a bar of chocolate,sora1.2-stdit-480p/a woman eating a bar of chocolate.mp4
sora1.2-stdit-480p,a woman sitting by the indoor fire pit,sora1.2-stdit-480p/a woman sitting by the indoor fire pit.mp4
sora1.2-stdit-480p,a woman with a slice of a pie,sora1.2-stdit-480p/a woman with a slice of a pie.mp4
sora1.2-stdit-480p,a zigzag road across a forest,sora1.2-stdit-480p/a zigzag road across a forest.mp4
sora1.2-stdit-480p,alligator in the nature,sora1.2-stdit-480p/alligator in the nature.mp4
sora1.2-stdit-480p,barista preparing matcha tea,sora1.2-stdit-480p/barista preparing matcha tea.mp4
sora1.2-stdit-480p,bird nests on a tree captured with moving camera,sora1.2-stdit-480p/bird nests on a tree captured with moving camera.mp4
sora1.2-stdit-480p,building under construction,sora1.2-stdit-480p/building under construction.mp4
sora1.2-stdit-480p,candle burning in dark room,sora1.2-stdit-480p/candle burning in dark room.mp4
sora1.2-stdit-480p,candle on a jar and a house figurine on a surface,sora1.2-stdit-480p/candle on a jar and a house figurine on a surface.mp4
sora1.2-stdit-480p,cargo train traveling on the mountainside,sora1.2-stdit-480p/cargo train traveling on the mountainside.mp4
sora1.2-stdit-480p,close up shot of a yellow taxi turning left,sora1.2-stdit-480p/close up shot of a yellow taxi turning left.mp4
sora1.2-stdit-480p,clouds over railway,sora1.2-stdit-480p/clouds over railway.mp4
sora1.2-stdit-480p,deer grazing in the field,sora1.2-stdit-480p/deer grazing in the field.mp4
sora1.2-stdit-480p,eiffel tower from the seine river,sora1.2-stdit-480p/eiffel tower from the seine river.mp4
sora1.2-stdit-480p,focus shot of an insect at the bottom of a fruit,sora1.2-stdit-480p/focus shot of an insect at the bottom of a fruit.mp4
sora1.2-stdit-480p,forest of deciduous trees,sora1.2-stdit-480p/forest of deciduous trees.mp4
sora1.2-stdit-480p,hummingbird hawk moth flying near pink flowers,sora1.2-stdit-480p/hummingbird hawk moth flying near pink flowers.mp4
sora1.2-stdit-480p,indoor wall climbing activity,sora1.2-stdit-480p/indoor wall climbing activity.mp4
sora1.2-stdit-480p,panoramic view of a town surrounded by snow covered mountains,sora1.2-stdit-480p/panoramic view of a town surrounded by snow covered mountains.mp4
sora1.2-stdit-480p,person assembling furniture,sora1.2-stdit-480p/person assembling furniture.mp4
sora1.2-stdit-480p,person doing a leg exercise,sora1.2-stdit-480p/person doing a leg exercise.mp4
sora1.2-stdit-480p,pork ribs dish,sora1.2-stdit-480p/pork ribs dish.mp4
sora1.2-stdit-480p,red vehicle driving on field,sora1.2-stdit-480p/red vehicle driving on field.mp4
sora1.2-stdit-480p,reflection of tree branches,sora1.2-stdit-480p/reflection of tree branches.mp4
sora1.2-stdit-480p,rice terraces in the countryside,sora1.2-stdit-480p/rice terraces in the countryside.mp4
sora1.2-stdit-480p,road on mountain ridge,sora1.2-stdit-480p/road on mountain ridge.mp4
sora1.2-stdit-480p,time lapse of a cloudy sky behind a transmission tower,sora1.2-stdit-480p/time lapse of a cloudy sky behind a transmission tower.mp4
sora1.2-stdit-480p,uncooked pork meat,sora1.2-stdit-480p/uncooked pork meat.mp4
sora1.2-stdit-480p,variety of succulent plants on a garden,sora1.2-stdit-480p/variety of succulent plants on a garden.mp4
sora1.2-stdit-480p,video of lake during dawn,sora1.2-stdit-480p/video of lake during dawn.mp4
sora1.2-stdit-480p,watering yellow plant,sora1.2-stdit-480p/watering yellow plant.mp4
sora1.2-stdit-480p,white fox on rock,sora1.2-stdit-480p/white fox on rock.mp4
sora1.2-stdit-480p,woman seating inside the car while chewing,sora1.2-stdit-480p/woman seating inside the car while chewing.mp4
sora1.2-stdit-480p,workspace at home,sora1.2-stdit-480p/workspace at home.mp4
sora1.2-stdit-480p,young dancer practicing at home,sora1.2-stdit-480p/young dancer practicing at home.mp4
sora1.2-stdit-720p,a big river swamp in a dense forest,sora1.2-stdit-720p/a big river swamp in a dense forest.mp4
sora1.2-stdit-720p,a branch of a tree and a plant,sora1.2-stdit-720p/a branch of a tree and a plant.mp4
sora1.2-stdit-720p,a couple resting on their home floor,sora1.2-stdit-720p/a couple resting on their home floor.mp4
sora1.2-stdit-720p,a cracker sandwich with cheese filling for snack,sora1.2-stdit-720p/a cracker sandwich with cheese filling for snack.mp4
sora1.2-stdit-720p,a crowd of people in a plaza in front of a government building,sora1.2-stdit-720p/a crowd of people in a plaza in front of a government building.mp4
sora1.2-stdit-720p,a dark clouds over shadowing the full moon,sora1.2-stdit-720p/a dark clouds over shadowing the full moon.mp4
sora1.2-stdit-720p,a female fencer posing in a foggy room,sora1.2-stdit-720p/a female fencer posing in a foggy room.mp4
sora1.2-stdit-720p,a freshly brewed coffee on a pink mug,sora1.2-stdit-720p/a freshly brewed coffee on a pink mug.mp4
sora1.2-stdit-720p,a lion standing on wild grass,sora1.2-stdit-720p/a lion standing on wild grass.mp4
sora1.2-stdit-720p,a lizard on a bamboo,sora1.2-stdit-720p/a lizard on a bamboo.mp4
sora1.2-stdit-720p,a male interviewer listening to a person talking,sora1.2-stdit-720p/a male interviewer listening to a person talking.mp4
sora1.2-stdit-720p,a male vendor selling fruits,sora1.2-stdit-720p/a male vendor selling fruits.mp4
sora1.2-stdit-720p,a miniature house,sora1.2-stdit-720p/a miniature house.mp4
sora1.2-stdit-720p,a singer of a music band,sora1.2-stdit-720p/a singer of a music band.mp4
sora1.2-stdit-720p,a woman eating a bar of chocolate,sora1.2-stdit-720p/a woman eating a bar of chocolate.mp4
sora1.2-stdit-720p,a woman sitting by the indoor fire pit,sora1.2-stdit-720p/a woman sitting by the indoor fire pit.mp4
